country,year,predicted_value,metric
Bermuda,2029,71.16615384615397,forest_loss
Bermuda,2030,73.50153846153898,forest_loss
Bermuda,2031,75.83692307692309,forest_loss
Bermuda,2032,78.1723076923081,forest_loss
Bermuda,2033,80.5076923076931,forest_loss
Bermuda,2034,82.8430769230772,forest_loss
Bermuda,2035,85.17846153846222,forest_loss
Bermuda,2036,87.51384615384632,forest_loss
Bermuda,2037,89.84923076923133,forest_loss
Bermuda,2038,92.18461538461543,forest_loss
Bermuda,2039,94.52000000000044,forest_loss
Bermuda,2040,96.85538461538454,forest_loss
Bermuda,2041,99.19076923076955,forest_loss
Bermuda,2042,101.52615384615456,forest_loss
Bermuda,2043,103.86153846153866,forest_loss
Bermuda,2044,106.19692307692367,forest_loss
Bermuda,2045,108.53230769230777,forest_loss
Bhutan,2026,224858.7599999979,forest_loss
Bhutan,2027,234429.05846153572,forest_loss
Bhutan,2028,243999.35692307726,forest_loss
Bhutan,2029,253569.65538461506,forest_loss
Bhutan,2030,263139.9538461529,forest_loss
Bhutan,2031,272710.2523076907,forest_loss
Bhutan,2032,282280.5507692285,forest_loss
Bhutan,2033,291850.8492307663,forest_loss
Bhutan,2034,301421.14769230783,forest_loss
Bhutan,2035,310991.44615384564,forest_loss
Bhutan,2036,320561.74461538345,forest_loss
Bhutan,2037,330132.04307692125,forest_loss
Bhutan,2038,339702.34153845906,forest_loss
Bhutan,2039,349272.63999999687,forest_loss
Bhutan,2040,358842.9384615384,forest_loss
Bhutan,2041,368413.2369230762,forest_loss
Bhutan,2042,377983.535384614,forest_loss
Bhutan,2043,387553.8338461518,forest_loss
Bhutan,2044,397124.13230768964,forest_loss
Bhutan,2045,406694.43076922745,forest_loss
Bolivia,2026,62914766.67000008,forest_loss
Bolivia,2027,65603246.259999275,forest_loss
Bolivia,2028,68291725.84999943,forest_loss
Bolivia,2029,70980205.43999958,forest_loss
Bolivia,2030,73668685.02999973,forest_loss
Bolivia,2031,76357164.61999989,forest_loss
Bolivia,2032,79045644.21000004,forest_loss
Bolivia,2033,81734123.79999924,forest_loss
Bolivia,2034,84422603.38999939,forest_loss
Bolivia,2035,87111082.97999954,forest_loss
Bolivia,2036,89799562.5699997,forest_loss
Bolivia,2037,92488042.15999985,forest_loss
Bolivia,2038,95176521.75,forest_loss
Bolivia,2039,97865001.3399992,forest_loss
Bolivia,2040,100553480.92999935,forest_loss
Bolivia,2041,103241960.5199995,forest_loss
Bolivia,2042,105930440.10999966,forest_loss
Bolivia,2043,108618919.69999981,forest_loss
Bolivia,2044,111307399.28999996,forest_loss
Bolivia,2045,113995878.87999916,forest_loss
"Bonaire, Sint Eustatius and Saba",2026,611.5,forest_loss
"Bonaire, Sint Eustatius and Saba",2027,631.886153846157,forest_loss
"Bonaire, Sint Eustatius and Saba",2028,652.2723076923139,forest_loss
"Bonaire, Sint Eustatius and Saba",2029,672.6584615384636,forest_loss
"Bonaire, Sint Eustatius and Saba",2030,693.0446153846206,forest_loss
"Bonaire, Sint Eustatius and Saba",2031,713.4307692307702,forest_loss
"Bonaire, Sint Eustatius and Saba",2032,733.8169230769272,forest_loss
"Bonaire, Sint Eustatius and Saba",2033,754.2030769230769,forest_loss
"Bonaire, Sint Eustatius and Saba",2034,774.5892307692338,forest_loss
"Bonaire, Sint Eustatius and Saba",2035,794.9753846153908,forest_loss
"Bonaire, Sint Eustatius and Saba",2036,815.3615384615405,forest_loss
"Bonaire, Sint Eustatius and Saba",2037,835.7476923076974,forest_loss
"Bonaire, Sint Eustatius and Saba",2038,856.1338461538471,forest_loss
"Bonaire, Sint Eustatius and Saba",2039,876.5200000000041,forest_loss
"Bonaire, Sint Eustatius and Saba",2040,896.9061538461538,forest_loss
"Bonaire, Sint Eustatius and Saba",2041,917.2923076923107,forest_loss
"Bonaire, Sint Eustatius and Saba",2042,937.6784615384677,forest_loss
"Bonaire, Sint Eustatius and Saba",2043,958.0646153846174,forest_loss
"Bonaire, Sint Eustatius and Saba",2044,978.4507692307743,forest_loss
"Bonaire, Sint Eustatius and Saba",2045,998.836923076924,forest_loss
Bosnia and Herzegovina,2026,330842.6000000015,forest_loss
Bosnia and Herzegovina,2027,344060.1107692309,forest_loss
Bosnia and Herzegovina,2028,357277.621538464,forest_loss
